id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,2.9699999999999998,7390578333,24,15220637632,144105318,3.04,2.93,-0.061518476630576004,-2.02978,-158856192.92969418,-2.10421,2491324641.624903,5130795979.219088,10003352445917.512,8.25,-64.07686,2024-06-15T00:36:51.509Z,0.5193639999999999,470.88207,2021-09-21T00:33:11.092Z,Unknown,2025-05-25T20:37:27.703Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,94.39,7163125782,25,7163682691,343214760,96.73,93.83,-2.339838338515505,-2.41895,-176363398.2389164,-2.40294,75887601.98347135,75893501.98347135,84000000.0,410.26,-76.98563,2021-05-10T03:13:07.904Z,1.15,8118.5944,2015-01-14T00:00:00.000Z,Unknown,2025-05-25T20:37:23.590Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2521.02,7130403440,26,7125769131,54011474,2557.5,2474.18,-36.482676909362,-1.4265,-145159362.4833145,-1.99516,2828305.533307353,2826467.314611775,10003352445917.512,4799.89,-47.52478,2021-11-09T00:00:00.000Z,82.1,2967.7828,2018-12-15T00:00:00.000Z,Unknown,2025-05-25T20:37:22.092Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.43,6747226788,27,6747226788,177668435,4.6,4.38,-0.162472381708321,-3.53541,-248256307.72266102,-3.54881,1522267060.0,1522267060.0,10003352445917.512,54.98,-91.93224,2021-11-04T14:10:09.301Z,2.7,64.44117,2020-08-20T05:48:11.359Z,Unknown,2025-05-25T20:37:21.845Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999799,6651722393,28,6649859969,3695194,0.9999509999999999,0.9995729999999999,0.00015071,0.015080000000000001,40173871.0,0.60763,6653485144.523971,6651622227.641311,10003352445917.512,1.057,-5.44795,2024-10-29T05:40:51.197Z,0.9482649999999999,5.42619,2024-10-03T13:19:28.826Z,Unknown,2025-05-25T20:37:22.956Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,5.3,6199596278,29,6199596278,103730137,5.63,5.3,-0.32086778970261803,-5.7097,-375413038.9037876,-5.7097,1169993089.2,1169993089.2,2000000000.0,8.45,-37.26838,2024-12-27T11:41:24.992Z,0.014279499999999999,37023.32066,2020-06-25T04:17:05.895Z,Unknown,2025-05-25T20:37:27.748Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2692.37,6117201530,30,6117203556,5366345,2728.23,2642.06,-35.83090425592491,-1.31335,-73723027.23299885,-1.19082,2272047.834517516,2272048.587292383,10003352445917.512,4311.81,-37.57369,2024-12-06T20:32:25.758Z,1505.24,78.82282000000001,2025-04-09T03:45:31.391Z,Unknown,2025-05-25T20:37:22.210Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.001,5986452266,31,5986452266,4537555867,1.005,0.996548,0.00069123,0.06914000000000001,-3030095.8599042892,-0.05059,5984993799.547009,5984993799.547009,10003352445917.512,1.05,-4.7188300000000005,2024-08-05T14:21:42.527Z,0.942186,6.18023,2024-12-05T22:30:39.827Z,Unknown,2025-05-25T20:37:28.997Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.772559,5595236278,32,8608055813,104707560,0.7837529999999999,0.762991,-0.005435632920868,-0.69867,-32496275.751833916,-0.57743,7242931232.691251,11142971127.21731,100000000000.0,2.99,-74.13647,2025-02-26T16:41:03.732Z,0.406999,89.85353,2025-04-05T04:50:37.033Z,Unknown,2025-05-25T20:37:21.996Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.3040000000000002e-05,5485032684,33,5485032684,1408770209,1.3940000000000002e-05,1.2820000000000001e-05,-8.83334663992e-07,-6.34547,-365272926.0930767,-6.24366,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-53.45187,2024-12-09T16:30:35.828Z,5.5142e-08,23559.82829,2023-04-18T02:14:41.591Z,Unknown,2025-05-25T20:37:28.788Z
